Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,exam_part,holiday,instit_kind,instit_nm,lat,lng,medical_instit_kind,organ_loc,regist_dt,street_nm_addr,sunday_oper_week,tel,update_dt,zip_code
09:00~17:00,09:00~17:00,09:00~14:00,~,09:00~17:00,09:00~17:00,09:00~17:00,"가정의학과,내과,신경외과",~,의원,김진목파인힐의원,35.17376574,129.1811665,응급의료기관이외,2호선 장산역 2번출구,2021-01-21,"부산광역시 해운대구 좌동순환로 247, 유안빌딩 4,5층 (좌동)",,051-710-0005,2021-01-21,48108
09:00~18:00,09:00~18:00,09:00~14:00,~,09:00~18:00,09:00~18:00,09:00~18:00,외과,~,의원,위드맘유갑외과의원,35.10586979,128.9638463,응급의료기관이외,1호선 하단역 2번출구,2021-01-15,"부산광역시 사하구 낙동남로 1392, 2,6층 (하단동)",,051-204-3500,2021-01-29,49426
08:00~17:00,08:00~17:00,08:00~13:00,~,08:00~17:00,08:00~17:00,08:00~17:00,외과,~,의원,도담외과의원,35.15987335,129.0577033,응급의료기관이외,"1,2호선 서면역 13번 출구",2021-01-14,"부산광역시 부산진구 새싹로 22-1, 2층 (부전동)",,051-711-6119,2021-02-15,47253
09:00~19:00,09:00~19:00,09:00~14:00,~,09:00~19:00,09:00~19:00,09:00~14:00,"사상체질과,침구과,한방내과,한방부인과,한방소아과,한방신경정신과,한방안이비인후피부과,한방재활의학과",~,한의원,해담한의원,35.1681342,129.1163968,응급의료기관이외,수영역 3번 출구,2021-01-12,"부산광역시 수영구 수영로705번길 5, 엠에스빌딩 2층 (수영동)",,051-755-0707,2021-01-21,48228
10:00~19:30,10:00~19:30,09:00~15:00,~,10:00~19:30,10:00~19:30,10:00~19:30,"사상체질과,침구과,한방내과,한방부인과,한방소아과,한방신경정신과,한방안이비인후피부과,한방재활의학과",~,한의원,정관에스(S)한의원,35.32062942,129.1770764,응급의료기관이외,버스정류장 : 정관농협기업지점,2021-01-12,"부산광역시 기장군 정관읍 정관로 580, 2층 202-204호",,051-723-9500,2021-01-12,46017
09:00~19:30,09:00~19:30,09:00~15:00,09:00~13:00,09:00~19:30,09:00~19:30,09:00~19:30,,09:00~13:00,약국,하늘약국,35.13888827,129.1071195,응급의료기관이외,,2021-01-12,"부산광역시 수영구 황령대로 483, 한나빌딩 (남천동)",1 2 3 4 5,051-626-7200,2021-02-08,48312
08:30~19:30,08:30~19:30,08:30~14:00,~,08:30~19:30,08:30~19:30,08:30~19:30,,~,약국,새중앙약국,35.21442528,129.0347651,응급의료기관이외,3호선 만덕역 4번 출구,2021-01-12,"부산광역시 북구 만덕1로 26, 중앙빌딩 101호 (만덕동)",,051-932-8532,2021-01-12,46557
10:00~19:00,10:00~19:00,10:00~13:00,~,10:00~19:00,10:00~19:00,10:00~19:30,치과,~,치과의원,율리프라임치과의원,35.24697707,129.0131594,응급의료기관이외,2호선 율리역 4번 출구,2021-01-12,"부산광역시 북구 금곡대로 432, 3층 (금곡동)",,051-362-2275,2021-01-12,46511
09:00~18:00,~,09:00~17:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"내과,소아청소년과,이비인후과",~,의원,최원복소아청소년과의원,35.1382223,129.1010753,응급의료기관이외,2호선 경성대부경대역 2번출구,2021-01-12,"부산광역시 남구 수영로 323, 태강프라자 201호 (대연동)",,051-628-7711,2021-01-12,48434
09:00~18:30,09:00~18:30,09:00~13:00,~,09:00~18:30,09:00~18:30,09:00~18:30,"내과,마취통증의학과,신경외과,영상의학과,외과,재활의학과,정형외과,피부과",~,의원,조은어깨동무정형외과의원,35.22233171,129.084999,응급의료기관이외,"온천장역 5번출구, 홈플러스 뒷편",2021-01-12,부산광역시 금정구 온천장로 131 (장전동),,051-711-5365,2021-01-27,46300
14:00~21:00,14:00~21:00,10:00~16:00,~,11:00~19:00,11:00~19:00,14:00~21:00,피부과,~,의원,리쥬브포맨의원,35.15937507,129.0600139,응급의료기관이외,1호선 서면역 15번 출구,2021-01-12,"부산광역시 부산진구 중앙대로 747, 2층 (부전동)",,051-808-0008,2021-01-12,47254
09:30~18:30,09:30~18:30,09:30~14:00,~,09:30~18:30,09:30~18:30,14:00~21:00,"구강내과,구강병리과,구강악안면방사선과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과,통합치의학과",~,치과의원,이센스치과의원,35.20092691,129.0866686,응급의료기관이외,수안역 8번출구,2021-01-06,"부산광역시 동래구 충렬대로 252, 4층 (수안동)",,051-557-2828,2021-01-06,47877
~,~,~,~,~,~,~,"사상체질과,침구과,한방내과,한방부인과,한방소아과,한방신경정신과,한방안이비인후피부과,한방재활의학과",~,한의원,수+한의원,35.07660279,128.9726353,응급의료기관이외,신장림역 3번출구,2021-01-04,"부산광역시 사하구 장평로 117, 서진빌딩 201호 (장림동)",,051-923-5853,2021-01-27,49483
12:00~21:00,12:00~21:00,10:00~16:00,~,12:00~21:00,12:00~21:00,12:00~21:00,"사상체질과,침구과,한방내과,한방부인과,한방소아과,한방신경정신과,한방안이비인후피부과,한방재활의학과",~,한의원,하늘체한의원,35.18622725,129.0824321,응급의료기관이외,"1호선 연산역 10, 12번 출구",2020-12-29,"부산광역시 연제구 반송로 6, 6층 (연산동)",,051-868-7866,2021-02-08,47549
09:00~19:00,09:00~19:00,09:00~13:00,~,09:00~19:00,09:00~19:00,09:00~19:00,,~,약국,보담약국,35.14599148,129.0597743,응급의료기관이외,1호선 범내골역 2번 출구,2020-12-29,"부산광역시 부산진구 범일로 178, 1층 (범천동)",,051-990-9000,2020-12-29,47357
09:00~19:00,09:00~19:00,09:00~15:00,09:00~15:00,09:00~19:00,09:00~19:00,09:00~19:00,"가정의학과,내과,비뇨의학과,소아청소년과,안과,이비인후과,정형외과,피부과",09:00~15:00,의원,더큰아이소아청소년과의원,35.16879795,129.1757377,응급의료기관이외,"2호선 장산역 11, 13번 출구",2020-12-29,"부산광역시 해운대구 해운대로 794, 엘리움 201~203호 (좌동)",1 2 3 4 5,051-711-7878,2020-12-29,48104
08:00~21:00,08:00~21:00,08:00~18:00,08:00~18:00,08:00~21:00,08:00~21:00,08:00~21:00,"내과,소아청소년과,신경외과,정형외과,피부과",09:00~21:00,의원,다대의원,35.06129627,128.9760603,응급의료기관이외,버스정류장 : 다대현대아파트,2020-12-29,"부산광역시 사하구 다대로 485, 일영빌딩 B동 3층 (다대동)",1 3 5,051-912-3636,2020-12-29,49520
10:00~19:00,10:00~19:00,10:00~14:00,~,10:00~20:00,10:00~19:00,10:00~19:00,"구강내과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과,통합치의학과",~,치과의원,남천바른생각치과의원,35.14180721,129.1072908,응급의료기관이외,2호선 남천역 4번출구,2020-12-28,"부산광역시 수영구 수영로 393, 예진메디칼센타 3층 (남천동)",,051-623-2875,2021-01-14,48317
09:00~18:30,09:00~18:30,09:00~13:30,~,09:00~18:30,09:00~18:30,09:00~18:30,,~,약국,편한약국,35.26093307,129.0885251,응급의료기관이외,버스정류장 : 샘골공원,2020-12-23,"부산광역시 금정구 두실로 26, 진경빌딩 1층 (남산동)",,051-583-8123,2020-12-23,46227
09:30~18:30,09:30~18:30,09:30~13:30,~,09:30~18:30,09:30~18:30,09:30~18:30,산부인과,~,의원,루이송여성의원,35.15806536,129.057231,응급의료기관이외,2호선 서면역 9번 출구,2020-12-22,"부산광역시 부산진구 가야대로 783, 4층 (부전동)",,051-806-9993,2020-12-22,47257
09:00~19:00,09:00~19:00,09:00~13:00,~,09:00~19:00,09:00~19:00,09:00~19:00,,~,약국,파랑약국,35.20210531,129.1195417,응급의료기관이외,,2020-12-16,"부산광역시 해운대구 선수촌로 94, 대룡빌딩 102호 (반여동)",,051-526-8900,2020-12-16,48037
09:30~18:00,09:30~18:00,09:30~13:00,~,09:30~18:00,09:30~18:00,09:30~18:00,"내과,산부인과,외과,이비인후과,작업환경의학과,정형외과,피부과",~,의원,휴암의원,35.17196043,129.174949,응급의료기관이외,,2020-12-16,"부산광역시 해운대구 좌동로 88, 울트라타워 1301~1302호 (좌동)",,051-704-7779,2021-02-03,48106
09:30~18:30,09:30~18:30,09:30~13:30,~,09:30~13:30,09:30~18:30,09:30~18:30,"내과,신경과,정신건강의학과",~,의원,인성정신건강의학과의원,35.14091615,129.107147,응급의료기관이외,,2020-12-16,"부산광역시 수영구 수영로 386-1, 원탄크리닉 601호 (남천동)",,051-626-3331,2020-12-16,48311
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"내과,마취통증의학과,신경외과,재활의학과,정형외과",~,의원,수안의원,35.20266866,129.0814095,응급의료기관이외,수안역 2번 출구,2020-12-16,"부산광역시 동래구 충렬대로 200, 불이빌딩 11층 (수안동)",,051-556-7979,2021-02-10,47816
10:00~21:00,10:00~19:00,10:00~13:00,~,10:00~19:00,10:00~19:00,10:00~13:00,"내과,마취통증의학과,성형외과,신경외과,정형외과,피부과",~,의원,동백제니스의원,35.15972737,129.1507025,응급의료기관이외,"2호선 동백역 1,2번 출구(두산위브더제니스아파트)",2020-12-16,"부산광역시 해운대구 해운대로 540, 105~109호 (우동, 해운대 동백 두산위브더제니스)",,051-747-3490,2021-01-12,48093
09:00~17:00,09:00~17:30,09:00~12:00,~,09:00~17:30,09:00~17:30,09:00~17:30,"내과,성형외과,신경과,외과,이비인후과,피부과",~,병원,의료법인서호의료재단 서호하단병원,35.10523399,128.970091,응급의료기관이외,,2020-12-16,"부산광역시 사하구 낙동대로 446, 7-14층 (당리동)",,051-201-6666,2021-01-22,49326
09:30~19:00,09:30~19:00,09:30~13:00,~,09:30~19:00,09:30~19:00,09:30~19:00,,~,약국,행복온누리약국,35.22418399,129.0084927,응급의료기관이외,2호선 수정역 3번출구,2020-12-07,"부산광역시 북구 학사로 8, 크리스탈타워 1층 102호 (화명동)",,051-365-4577,2020-12-07,46541
09:00~21:00,09:00~21:00,09:00~21:00,~,09:00~21:00,09:00~21:00,09:00~21:00,,~,약국,수경메디컬약국,35.06129627,128.9760603,응급의료기관이외,,2020-12-07,"부산광역시 사하구 다대로 485, 일영빌딩 B동 201호 (다대동)",,051-914-9965,2021-01-14,49520
09:30~18:30,09:30~18:30,09:30~14:00,~,09:30~20:00,09:30~18:30,09:30~18:30,"내과,외과,피부과",~,의원,미담유외과의원,35.16591625,129.1145004,응급의료기관이외,2호선 수영역8번 출구,2020-12-07,"부산광역시 수영구 수영로 675, 큐비 메디컬센터 11층 (광안동)",,051-754-6660,2021-01-11,48243
~,10:00~18:30,10:00~14:30,10:00~14:30,10:00~18:30,10:00~18:30,10:00~18:30,"구강내과,구강병리과,구강악안면방사선과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과",10:00~18:30,치과의원,아시아드치과의원,35.1962919,129.0676536,응급의료기관이외,3호선 사직역 2번출구,2020-12-01,"부산광역시 동래구 아시아드대로134번길 14, 상가1동 2층 201,202,203호 (사직동, 쌍용더플래티넘사직아시아드아파트)",1 2 3 4 5,051-503-7070,2020-12-01,47844
09:30~18:00,09:30~18:00,09:30~13:00,~,09:30~18:00,09:30~18:00,09:30~18:00,"비뇨의학과,피부과",~,의원,홍진욱비뇨의학과의원,35.16879795,129.1757377,응급의료기관이외,2호선 장산역 13번 출구,2020-12-01,"부산광역시 해운대구 해운대로 794, 엘리움 301호, 302일부호 (좌동)",,051-742-7575,2020-12-21,48104
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~20:00,09:00~20:00,09:00~18:00,"내과,마취통증의학과,소아청소년과,신경과,신경외과,영상의학과,외과,응급의학과,재활의학과,정형외과,피부과,흉부외과",~,의원,올바른신경외과의원,35.13458415,129.0867288,응급의료기관이외,2호선 못골역 1번 출구,2020-12-01,"부산광역시 남구 수영로 184, 4층 (대연동)",,051-715-8212,2020-12-28,48460
09:30~18:30,09:30~18:30,09:30~14:00,~,09:30~18:30,09:30~18:30,09:30~20:00,"신경과,정신건강의학과",~,의원,마음인정신건강의학과의원,35.15584328,129.0587937,응급의료기관이외,1호선 서면역 1번 출구,2020-12-01,"부산광역시 부산진구 중앙대로 707, 10층 (부전동)",,051-817-0032,2020-12-01,47286
09:00~20:00,09:00~20:00,09:00~17:00,~,09:00~20:00,09:00~20:00,09:00~20:00,,09:00~14:00,약국,진약국,35.09128269,128.9033555,응급의료기관이외,,2020-11-30,"부산광역시 강서구 명지국제1로 25, 우진메디컬프라 112호 (명지동)",,051-201-5481,2020-11-30,46726
09:30~20:00,09:30~18:00,09:30~13:30,~,09:30~18:00,09:30~18:00,09:30~20:00,산부인과,~,의원,지혜산부인과의원,35.17285645,129.07064,응급의료기관이외,1호선 양정역 3번출구,2020-11-24,"부산광역시 부산진구 동평로 422, 4층 (양정동)",,051-710-7722,2020-11-24,47213
09:30~20:00,09:30~20:00,09:30~14:00,~,09:30~20:00,09:30~20:00,13:00~20:00,"가정의학과,내과,성형외과,소아청소년과,피부과",~,의원,맑고고운의원,35.11371926,129.1112871,응급의료기관이외,,2020-11-23,"부산광역시 남구 용호로 207, 7층 (용호동)",,051-628-7277,2020-11-23,48591
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"가정의학과,내과,마취통증의학과,비뇨의학과,산부인과,성형외과,외과,이비인후과,정신건강의학과,정형외과,피부과",~,의원,동래미래로여성의원,35.20578993,129.077091,응급의료기관이외,4호선 동래역 5번출구,2020-11-23,"부산광역시 동래구 충렬대로155번길 19, 3층 301호 (온천동)",,051-556-1331,2020-11-23,47734
09:30~20:00,09:30~20:00,09:30~13:30,~,09:30~20:00,09:30~20:00,09:30~13:30,"내과,마취통증의학과,신경과,신경외과,재활의학과,정형외과",~,의원,광안리재활의학과의원,35.15733346,129.1127149,응급의료기관이외,2호선 광안력 6번출구,2020-11-23,"부산광역시 수영구 수영로 577, 9층 (광안동)",,051-757-7341,2020-12-30,48255
11:00~20:00,11:00~20:00,11:00~16:00,~,11:00~20:00,11:00~20:00,11:00~19:00,가정의학과,~,의원,365엠씨람스에스씨의원,35.16719565,129.1320372,응급의료기관이외,2호선 센텀시티역 11번 출구,2020-11-23,"부산광역시 해운대구 센텀2로 20, 센텀타워메디컬 1403호 (우동)",,1577-3653,2020-11-25,48060
09:30~20:00,09:30~20:00,09:30~15:00,~,09:30~20:00,09:30~20:00,09:30~20:00,,~,약국,호호약국,35.22080677,129.0881861,응급의료기관이외,1호선 온천장역 4번출구,2020-11-09,"부산광역시 금정구 동현로16번길 65, 1층 4호 (부곡동, 부곡영화맨션)",,051-517-7501,2020-11-09,46306
09:00~19:00,09:00~19:00,09:00~19:00,~,09:00~19:00,09:00~19:00,09:00~19:00,,09:00~19:00,약국,보리수약국,35.17523373,128.9849972,응급의료기관이외,2호선 덕포역 4번출구,2020-11-09,"부산광역시 사상구 사상로342번길 9, 2층 (덕포동)",,051-913-1141,2020-11-09,46945
09:30~19:00,09:30~19:00,09:30~13:00,~,09:30~13:00,09:30~19:00,09:30~19:00,"사상체질과,침구과,한방내과,한방부인과,한방소아과,한방신경정신과,한방안이비인후피부과,한방재활의학과",~,한의원,가촌한의원,35.21078933,129.0825058,응급의료기관이외,1호선 명륜역 2번출구,2020-11-05,"부산광역시 동래구 명륜로 189-2, 2층 (명륜동)",,051-917-2175,2020-12-23,47742
09:00~18:30,09:00~18:30,09:00~12:30,~,09:00~18:30,09:00~18:30,09:00~18:30,,~,약국,열린약국,35.17359727,129.0694312,응급의료기관이외,1호선 양정역 3번출구,2020-11-05,"부산광역시 부산진구 동평로 410, 양정동근린생활시설 1층 (양정동)",,051-867-8841,2020-12-07,47213
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~19:00,09:00~19:00,09:00~18:00,"구강내과,구강병리과,구강악안면방사선과,구강안면외과,소아치과,예방치과,치과보존과,치과보철과,치주과",~,치과의원,뿌리깊은이정근치과의원,35.14817143,129.1101975,응급의료기관이외,2호선 금련산역 6번출구,2020-11-05,"부산광역시 수영구 수영로 471, 오션스카이 남천 201호 (남천동)",,051-624-7528,2020-11-05,48265
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"내과,소아청소년과,신경과,이비인후과,재활의학과,정신건강의학과,정형외과",~,의원,"부산달팽이 신경과,이비인후과 의원",35.16591625,129.1145004,응급의료기관이외,2호선 수영역 10번출구,2020-11-05,"부산광역시 수영구 수영로 675, 큐비 메디컬센터 6층 (광안동)",,051-784-7582,2020-11-09,48243
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"마취통증의학과,신경외과,정형외과",~,의원,명인마취통증의학과의원,35.10658218,128.9638108,응급의료기관이외,1호선 하단역 1번출구,2020-11-05,"부산광역시 사하구 낙동남로 1389, 4,5층 (하단동)",,051-204-8277,2021-01-11,49312
10:00~20:00,10:00~20:00,10:00~20:00,~,10:00~20:00,10:00~20:00,10:00~20:00,,~,약국,서문약국,35.18932766,129.0914989,응급의료기관이외,,2020-11-02,"부산광역시 연제구 연동로8번길 44, 1층 일부호 (연산동)",,,2020-11-02,47552
10:30~19:00,10:30~21:00,10:30~15:00,~,10:30~19:00,10:30~19:00,10:30~21:00,피부과,~,의원,일라스의원,35.16694367,129.1329558,응급의료기관이외,2호선 센텀시티역 9번 출구,2020-11-02,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1401호 (우동)",,051-710-0821,2020-11-02,48060
09:30~18:00,09:30~18:00,09:30~13:00,~,09:30~18:00,09:30~18:00,09:30~18:00,정신건강의학과,~,의원,윤혜원정신건강의학과의원,35.13541842,129.0921824,응급의료기관이외,2호선 대연역 4번 출구,2020-10-30,"부산광역시 남구 수영로 233, 민석빌딩 8층 (대연동)",,051-612-1335,2020-10-30,48445
09:30~20:00,09:30~20:00,09:30~17:00,~,13:00~20:00,09:30~20:00,09:30~20:00,,~,약국,시원약국,35.13510721,129.094702,응급의료기관이외,2호선 대연역 1번출구,2020-10-26,"부산광역시 남구 수영로 256-1, 1층 (대연동)",,051-612-7107,2020-10-26,48497
09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,~,약국,맘편한약국,35.30153217,129.2573269,응급의료기관이외,칠암문중마을 경계지 교차로 근처,2020-10-26,"부산광역시 기장군 일광면 일광로 667, 1층 103호",1 2 3 4 5,0507-1441-8918,2020-11-05,46040
09:00~18:00,09:00~18:00,09:00~15:00,~,09:00~18:00,09:00~18:00,09:00~18:00,,~,약국,다정한약국,35.1033693,129.0257126,응급의료기관이외,버스정류장: 보수동 책방골목앞,2020-10-26,"부산광역시 중구 대청로53번길 7, 1층 (보수동1가)",,051-242-2257,2020-10-26,48962
09:30~18:30,09:30~18:30,09:30~14:00,~,09:30~18:30,09:30~18:30,09:30~14:00,"구강내과,구강병리과,구강악안면방사선과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과",~,치과의원,디오스치과의원,35.14300488,129.1084044,응급의료기관이외,2호선 남천역 2번출구,2020-10-26,"부산광역시 수영구 수영로 411, 글로리 2층 (남천동)",,051-791-0555,2020-10-26,48316
10:00~18:30,10:00~18:30,10:00~14:00,~,10:00~18:30,10:00~18:30,16:00~21:00,"신경과,정신건강의학과",~,의원,삼성공감정신건강의학과의원,35.16986881,129.1324585,응급의료기관이외,2호선 센텀시티역 2번출구,2020-10-26,"부산광역시 해운대구 센텀동로 9, 221호 (우동, 트럼프월드센텀아파트)",,051-746-3302,2020-10-26,48059
08:30~18:00,08:30~18:00,08:30~13:00,~,08:30~18:00,08:30~18:00,08:30~18:00,"사상체질과,침구과,한방내과,한방부인과,한방소아과,한방신경정신과,한방안이비인후피부과,한방응급과,한방재활의학과",08:30~13:00,한의원,더큰한의원,35.21395245,129.0362968,응급의료기관이외,3호선 만덕역 4번출구,2020-10-22,"부산광역시 북구 만덕1로 9, 세영빌딩 2~3층 (만덕동)",,051-338-1075,2020-10-22,46561
09:00~17:30,09:00~17:30,~,~,09:00~17:30,09:00~17:30,09:00~17:30,"가정의학과,내과,사상체질과,침구과,한방내과",~,한방병원,다남한방병원,35.32228833,129.1788822,응급의료기관이외,버스정류장: 히어로 테마파크 앞,2020-10-22,"부산광역시 기장군 정관읍 정관8로 28, 6층",,051-728-3311,2021-01-12,46015
11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,,~,약국,동부산약국,35.19221051,129.2127825,응급의료기관이외,롯데마트안,2020-10-22,"부산광역시 기장군 기장읍 기장해안로 147, 롯데몰 동부산점 롯데마트 2층",1 3 5,051-901-2160,2021-01-27,46084
10:00~19:00,10:00~19:00,10:00~17:00,10:00~17:00,10:00~19:00,10:00~19:00,10:00~19:00,성형외과,~,의원,아이노유성형외과의원,35.15806536,129.057231,응급의료기관이외,2호선 9번출구,2020-10-22,"부산광역시 부산진구 가야대로 783, 14층 (부전동)",1 2 3 4 5,051-809-9922,2020-10-22,47257
09:00~18:00,09:00~18:00,09:00~14:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"내과,마취통증의학과,신경외과,재활의학과,정형외과",~,의원,기장연합신경외과마취통증의학과의원,35.24493494,129.2142382,응급의료기관이외,동해기장역 1번 출구,2020-10-22,"부산광역시 기장군 기장읍 읍내로 92, 우리은행 5층",,051-715-0225,2020-10-22,46066
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"가정의학과,마취통증의학과,신경외과,재활의학과,정형외과",09:00~12:00,의원,참좋은정형외과의원,35.18586867,128.9907034,응급의료기관이외,2호선 모라역 2번출구,2020-10-19,"부산광역시 사상구 백양대로 893, 궁전빌딩 402호 (모라동)",,051-312-7582,2020-11-30,46930
09:00~19:00,09:00~19:00,09:00~16:00,~,09:00~19:00,09:00~19:00,09:00~19:00,,~,약국,큐비약국,35.16591625,129.1145004,응급의료기관이외,2호선 수영역 10번출구,2020-10-15,"부산광역시 수영구 수영로 675, 101호 (광안동)",,051-752-4200,2020-10-15,48243
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,,~,약국,진심약국,35.12459949,129.044433,응급의료기관이외,,2020-10-15,"부산광역시 동구 중앙대로 313, 세정빌딩 1층 (초량동)",,051-467-2100,2020-10-15,48792
09:00~18:30,09:00~18:30,09:00~13:00,~,09:00~18:30,09:00~18:30,09:00~18:30,비뇨의학과,~,의원,장산닥터남비뇨의학과의원,35.17097853,129.1776682,응급의료기관이외,2호선 장산역 2번출구,2020-10-15,"부산광역시 해운대구 세실로 64, 310~312호 (좌동, 화목데파트)",,051-702-5825,2020-10-15,48107
